Episodio n;Titulo;URL;Año;Mes
Episodio 45;S. Sanmiguel y Mielotxin - 16/10/08;http://www.rtve.es/play/audios/discopolis/discopolis-silvia-sanmiguel-mielotxin-16-10-08/318031/;2008;10
Episodio 46;Trigon - 17/10/08;http://www.rtve.es/play/audios/discopolis/discopolis-trigon-17-10-08/317968/;2008;10
Episodio 47;Ritmos Étnicos españoles - 18/10/08;http://www.rtve.es/play/audios/discopolis/discopolis-ritmos-etnicos-espanoles-18-10-08/318658/;2008;10
Episodio 48;Animatornil ... - 20/10/08;http://www.rtve.es/play/audios/discopolis/discopolis-animatornil-20-10-08/320163/;2008;10
Episodio 49;Unidos por el flow - 21/10/08;https://www.rtve.es/play/audios/discopolis/discopolis-unidos-flow-21-10-08/320938/;2008;10
Episodio 50;Discópolis - 22/10/08;http://www.rtve.es/play/audios/discopolis/discopolis-22-10-08/321670/;2008;10
Episodio 51;Discópolis - 23/10/08;https://www.rtve.es/play/audios/discopolis/discopolis-23-10-08/322212/;2008;10
Episodio 52;Discópolis - 24/10/08;https://www.rtve.es/play/audios/discopolis/discopolis-24-10-08/322681/;2008;10
Episodio 53;Ritmos étnicos españoles - 25/10/08;http://www.rtve.es/play/audios/discopolis/discopolis-ritmos-etnicos-espanoles-25-10-08/322706/;2008;10
Episodio 54;Discópolis - 27/10/08;http://www.rtve.es/play/audios/discopolis/discopolis-27-10-08/324969/;2008;10
Episodio 55;Discópolis - 29/10/08;https://www.rtve.es/play/audios/discopolis/discopolis-29-10-08/326133/;2008;10
Episodio 56;Discópolis - 31/10/08;https://www.rtve.es/play/audios/discopolis/discopolis-31-10-08/327461/;2008;10
Episodio 57;Discópolis - 03/11/08;http://www.rtve.es/play/audios/discopolis/discopolis-03-11-08/330257/;2008;11
Episodio 58;Discópolis - 04/11/08;https://www.rtve.es/play/audios/discopolis/discopolis-04-11-08/331209/;2008;11
Episodio 59;Discópolis - 05/11/08;https://www.rtve.es/play/audios/discopolis/discopolis-05-11-08/332225/;2008;11
Episodio 60;Discópolis - 06/11/08;http://www.rtve.es/play/audios/discopolis/discopolis-06-11-08/333125/;2008;11
Episodio 61;Discópolis - 07/11/08;http://www.rtve.es/play/audios/discopolis/discopolis-07-11-08/334030/;2008;11
Episodio 62;Discópolis - 08/11/08;http://www.rtve.es/play/audios/discopolis/discopolis-08-11-08/333842/;2008;11
Episodio 63;Discópolis - 10/11/08;http://www.rtve.es/play/audios/discopolis/discopolis-10-11-08/336550/;2008;11
Episodio 64;Discópolis - 11/11/08;https://www.rtve.es/play/audios/discopolis/discopolis-11-11-08/337649/;2008;11
Episodio 65;Discópolis - 12/11/08;https://www.rtve.es/play/audios/discopolis/discopolis-12-11-08/337467/;2008;11
Episodio 66;Discópolis - 13/11/08;http://www.rtve.es/play/audios/discopolis/discopolis-13-11-08/339982/;2008;11
Episodio 67;Discópolis - 14/11/08;https://www.rtve.es/play/audios/discopolis/discopolis-14-11-08/339866/;2008;11
Episodio 68;Discópolis - 15/11/08;https://www.rtve.es/play/audios/discopolis/discopolis-15-11-08/339927/;2008;11
Episodio 69;Discópolis - 17/11/08;http://www.rtve.es/play/audios/discopolis/discopolis-17-11-08/343534/;2008;11
Episodio 70;Discópolis - 18/11/08;http://www.rtve.es/play/audios/discopolis/discopolis-18-11-08/343567/;2008;11
Episodio 71;Discópolis - 19/11/08;http://www.rtve.es/play/audios/discopolis/discopolis-19-11-08/344253/;2008;11
Episodio 72;Discópolis - 20/11/08;http://www.rtve.es/play/audios/discopolis/discopolis-20-11-08/344923/;2008;11
Episodio 73;Discópolis - 21/11/08;http://www.rtve.es/play/audios/discopolis/discopolis-21-11-08/345504/;2008;11
Episodio 74;Discópolis - 21/11/08;http://www.rtve.es/play/audios/discopolis/discopolis-21-11-08/346494/;2008;11
Episodio 75;Discópolis - 22/11/08;http://www.rtve.es/play/audios/discopolis/discopolis-22-11-08/345547/;2008;11
Episodio 76;Discópolis - 24/11/08;http://www.rtve.es/play/audios/discopolis/discopolis-24-11-08/346413/;2008;11
Episodio 77;Discópolis - 26/11/08;https://www.rtve.es/play/audios/discopolis/discopolis-26-11-08/349226/;2008;11
Episodio 78;Discópolis - 27/11/08;http://www.rtve.es/play/audios/discopolis/discopolis-27-11-08/350029/;2008;11
Episodio 79;Discópolis - 28/11/08;https://www.rtve.es/play/audios/discopolis/discopolis-28-11-08/350638/;2008;11
Episodio 80;Discópolis - 29/11/08;http://www.rtve.es/play/audios/discopolis/discopolis-29-11-08/350660/;2008;11
Episodio 81;Discópolis - 01/12/08;http://www.rtve.es/play/audios/discopolis/discopolis-01-12-08/350754/;2008;12
Episodio 82;Discópolis - 03/12/08;http://www.rtve.es/play/audios/discopolis/discopolis-03-12-08/353840/;2008;12
Episodio 83;Discópolis - 04/12/08;https://www.rtve.es/play/audios/discopolis/discopolis-04-12-08/354713/;2008;12
Episodio 84;Discópolis - 05/12/08;https://www.rtve.es/play/audios/discopolis/discopolis-05-12-08/353907/;2008;12
Episodio 85;Discópolis - 06/12/08;http://www.rtve.es/play/audios/discopolis/discopolis-06-12-08/355212/;2008;12
Episodio 86;Discópolis - 08/12/08;https://www.rtve.es/play/audios/discopolis/discopolis-08-12-08/357105/;2008;12
Episodio 87;Discópolis - 09/12/08;http://www.rtve.es/play/audios/discopolis/discopolis-09-12-08/358004/;2008;12
Episodio 88;Discópolis - 10/12/08;https://www.rtve.es/play/audios/discopolis/discopolis-10-12-08/358656/;2008;12
Episodio 89;Discópolis - 11/12/08;http://www.rtve.es/play/audios/discopolis/discopolis-11-12-08/358711/;2008;12
Episodio 90;Discópolis - 12/12/08;http://www.rtve.es/play/audios/discopolis/discopolis-12-12-08/359532/;2008;12
Episodio 91;Discópolis - 13/12/08;http://www.rtve.es/play/audios/discopolis/discopolis-13-12-08/360158/;2008;12
Episodio 92;Discópolis - 15/12/08;http://www.rtve.es/play/audios/discopolis/discopolis-15-12-08/360348/;2008;12
Episodio 93;Discópolis - 16/12/08;http://www.rtve.es/play/audios/discopolis/discopolis-16-12-08/362828/;2008;12
Episodio 94;Discópolis - 17/12/08;https://www.rtve.es/play/audios/discopolis/discopolis-17-12-08/363251/;2008;12
Episodio 95;Discópolis - 19/12/08;https://www.rtve.es/play/audios/discopolis/discopolis-19-12-08/364098/;2008;12
Episodio 96;Discópolis - 20/12/08;http://www.rtve.es/play/audios/discopolis/discopolis-20-12-08/364610/;2008;12
Episodio 97;Discópolis - 22/12/08;http://www.rtve.es/play/audios/discopolis/discopolis-22-12-08/364710/;2008;12
Episodio 98;Discópolis - 23/12/08;http://www.rtve.es/play/audios/discopolis/discopolis-23-12-08/367057/;2008;12
Episodio 99;Discópolis - 24/12/08;http://www.rtve.es/play/audios/discopolis/discopolis-24-12-08/367092/;2008;12
Episodio 100;Discópolis - 25/12/08;http://www.rtve.es/play/audios/discopolis/discopolis-25-12-08/367105/;2008;12
Episodio 101;Discópolis - 26/12/08;https://www.rtve.es/play/audios/discopolis/discopolis-26-12-08/368919/;2008;12
Episodio 102;Discópolis - 27/12/08;http://www.rtve.es/play/audios/discopolis/discopolis-27-12-08/368970/;2008;12
Episodio 103;Discópolis - 29/12/08;http://www.rtve.es/play/audios/discopolis/discopolis-29-12-08/369074/;2008;12
Episodio 104;Discópolis - 30/12/08;http://www.rtve.es/play/audios/discopolis/discopolis-30-12-08/370832/;2008;12
Episodio 105;Discópolis - 31/12/08;http://www.rtve.es/play/audios/discopolis/discopolis-31-12-08/370865/;2008;12
Episodio 106;Discópolis - 01/01/09;https://www.rtve.es/play/audios/discopolis/discopolis-01-01-09/372142/;2009;1
Episodio 107;Discópolis - 02/01/09;https://www.rtve.es/play/audios/discopolis/discopolis-02-01-09/373600/;2009;1
Episodio 108;Discópolis - 03/01/09;https://www.rtve.es/play/audios/discopolis/discopolis-03-01-09/373657/;2009;1
Episodio 109;Discópolis - 05/01/09;https://www.rtve.es/play/audios/discopolis/discopolis-05-01-09/373761/;2009;1
Episodio 110;Discópolis - 06/01/09;http://www.rtve.es/play/audios/discopolis/discopolis-06-01-09/375502/;2009;1
Episodio 111;Discópolis - 07/01/09;http://www.rtve.es/play/audios/discopolis/discopolis-07-01-09/376666/;2009;1
Episodio 112;Discópolis - 08/01/09;http://www.rtve.es/play/audios/discopolis/discopolis-08-01-09/377146/;2009;1
Episodio 113;Discópolis - 09/01/09;https://www.rtve.es/play/audios/discopolis/discopolis-09-01-09/377529/;2009;1
Episodio 114;Discópolis - 12/01/09;http://www.rtve.es/play/audios/discopolis/discopolis-12-01-09/380457/;2009;1
Episodio 115;Discópolis - 13/01/09;http://www.rtve.es/play/audios/discopolis/discopolis-13-01-09/381211/;2009;1
Episodio 116;Discópolis - 14/01/09;https://www.rtve.es/play/audios/discopolis/discopolis-14-01-09/382196/;2009;1
Episodio 117;Discópolis - 15/01/09;https://www.rtve.es/play/audios/discopolis/discopolis-15-01-09/382956/;2009;1
Episodio 118;Discópolis - 16/01/09;http://www.rtve.es/play/audios/discopolis/discopolis-16-01-09/383711/;2009;1
Episodio 119;Discópolis - 20/01/09;http://www.rtve.es/play/audios/discopolis/discopolis-20-01-09/387606/;2009;1
Episodio 120;Discópolis - 20/01/09;http://www.rtve.es/play/audios/discopolis/discopolis-20-01-09/386548/;2009;1
Episodio 121;Discópolis - 22/01/09;http://www.rtve.es/play/audios/discopolis/discopolis-22-01-09/388865/;2009;1
Episodio 122;Discópolis - 23/01/09;http://www.rtve.es/play/audios/discopolis/discopolis-23-01-09/389772/;2009;1
Episodio 123;Discópolis - 26/01/09;http://www.rtve.es/play/audios/discopolis/discopolis-26-01-09/392255/;2009;1
Episodio 124;Discópolis - 27/01/09;http://www.rtve.es/play/audios/discopolis/discopolis-27-01-09/393149/;2009;1
Episodio 125;Discópolis - 28/01/09;https://www.rtve.es/play/audios/discopolis/discopolis-28-01-09/394588/;2009;1
Episodio 126;Discópolis - 29/01/09;http://www.rtve.es/play/audios/discopolis/discopolis-29-01-09/395481/;2009;1
Episodio 127;Discópolis - 30/01/09;http://www.rtve.es/play/audios/discopolis/discopolis-30-01-09/395480/;2009;1
Episodio 128;Discópolis - 02/02/09;http://www.rtve.es/play/audios/discopolis/discopolis-02-02-09/397580/;2009;2
Episodio 129;Discópolis - 03/02/09;https://www.rtve.es/play/audios/discopolis/discopolis-03-02-09/398426/;2009;2
Episodio 130;Discópolis - 04/02/09;http://www.rtve.es/play/audios/discopolis/discopolis-04-02-09/399473/;2009;2
Episodio 131;Discópolis - 05/02/09;http://www.rtve.es/play/audios/discopolis/discopolis-05-02-09/400349/;2009;2
Episodio 132;Discópolis - 06/02/09;https://www.rtve.es/play/audios/discopolis/discopolis-06-02-09/401232/;2009;2
Episodio 133;Discópolis - 09/02/09;http://www.rtve.es/play/audios/discopolis/discopolis-09-02-09/403469/;2009;2
Episodio 134;Discópolis - 10/02/09;http://www.rtve.es/play/audios/discopolis/discopolis-10-02-09/404264/;2009;2
Episodio 135;Discópolis - 11/02/09;https://www.rtve.es/play/audios/discopolis/discopolis-11-02-09/405216/;2009;2
Episodio 136;DIscópolis - 12/02/09;http://www.rtve.es/play/audios/discopolis/discopolis-12-02-09/406000/;2009;2
