Episodio n;Titulo;URL;Año;Mes
Episodio 550;Muddy Waters by Bonamassa;http://www.rtve.eshttps://www.rtve.es/play/audios/6x3/6-3-muddy-waters-by-bonamassa-16-04-15/3091511/;2015;4
Episodio 551;Los mejores discos de 1999;http://www.rtve.eshttp://www.rtve.es/play/audios/6x3/6-3-mejores-discos-1999-17-04-15/3094104/;2015;4
Episodio 552;Canciones hermanadas;http://www.rtve.eshttp://www.rtve.es/play/audios/6x3/6x3-canciones-hermanadas-21-04-15/3098482/;2015;4
Episodio 553;Rockea tu miércoles con los mejores guitarrazos;http://www.rtve.eshttp://www.rtve.es/play/audios/6x3/6x3-rockea-tu-miercoles-mejores-guitarrazos-22-04-15/3098484/;2015;4
Episodio 554;Canciones inspiradas en libros (Volumen 2);http://www.rtve.eshttp://www.rtve.es/play/audios/6x3/6x3-canciones-inspiradas-libros-volumen-2-23-04-15/3098481/;2015;4
Episodio 555;Monográfico Roxy Music;http://www.rtve.eshttp://www.rtve.es/play/audios/6x3/6x3-monografico-roxy-music-24-04-15/3098472/;2015;4
Episodio 556;Viaje psicodélico (sin billete de vuelta);http://www.rtve.eshttp://www.rtve.es/play/audios/6x3/6-3-viaje-psicodelico-sin-billete-vuelta-28-04-15/3107424/;2015;4
Episodio 557;Desmontando a Travellin' Brothers;http://www.rtve.eshttps://www.rtve.es/play/audios/6x3/6-3-desmontando-travellin-brothers-29-04-15/3108770/;2015;4
Episodio 558;Novedades Deluxe;http://www.rtve.eshttp://www.rtve.es/play/audios/6x3/6-3-novedades-deluxe-30-04-15/3110801/;2015;4
Episodio 559;Faith No More, The Dead Weather Foo Fighters y Tame Impala;http://www.rtve.eshttps://www.rtve.es/play/audios/6x3/6-3-faith-no-more-the-dead-weather-foo-fighters-tame-impala-01-05-15/3111301/;2015;5
Episodio 560;16 perlas acústicas;http://www.rtve.eshttp://www.rtve.es/play/audios/6x3/6-3-16-perlas-acusticas-05-05-15/3114787/;2015;5
Episodio 561;Desmontando a Enma Torres (Red Oblivion);http://www.rtve.eshttp://www.rtve.es/play/audios/6x3/6-3-desmontando-enma-torres-red-oblivion-06-05-15/3114988/;2015;5
Episodio 562;Weezer, Blur, Muse, Toro y Moi, FFS;http://www.rtve.eshttp://www.rtve.es/play/audios/6x3/6-3-weezer-blur-muse-toro-moi-ffs-07-05-15/3115011/;2015;5
Episodio 563;Laurence Jones;http://www.rtve.eshttp://www.rtve.es/play/audios/6x3/6-3-laurence-jones-08-05-15/3114991/;2015;5
Episodio 564;Canciones inspiradas en madres;http://www.rtve.eshttps://www.rtve.es/play/audios/6x3/6x3-canciones-inspiradas-madres-12-05-15/3123255/;2015;5
Episodio 565;Especial Talkbox;http://www.rtve.eshttps://www.rtve.es/play/audios/6x3/6x3-especial-talkbox-13-05-15/3124701/;2015;5
Episodio 566;Surfeando con Surforama;http://www.rtve.eshttps://www.rtve.es/play/audios/6x3/6x3-surfeando-surforama-14-05-15/3126045/;2015;5
Episodio 567;15 canciones protesta;http://www.rtve.eshttp://www.rtve.es/play/audios/6x3/6x3-15-canciones-protesta-15-05-15/3128080/;2015;5
Episodio 568;Adiós BB King;http://www.rtve.eshttp://www.rtve.es/play/audios/6x3/6-3-adios-bb-king-19-05-15/3131508/;2015;5
Episodio 569;Desmontando Pachuco con El Twanguero;http://www.rtve.eshttp://www.rtve.es/play/audios/6x3/6-3-desmontando-pachuco-twanguero-20-05-15/3133435/;2015;5
Episodio 570;The Strokes, Paul Weller, Alabama Shakes, Tame Impala;http://www.rtve.eshttp://www.rtve.es/play/audios/6x3/6-3-the-strokes-paul-weller-alabama-shakes-tame-impala-21-05-15/3134920/;2015;5
